174 Br1 2 4 3
175 Br1 3 4 3
176 Br1 4 4 3
177 Br1 1 1 4
178 Br1 2 1 4
179 Br1 3 1 4
180 Br1 4 1 4
181 Br1 1 2 4
182 Br1 2 2 4
183 Br1 3 2 4
184 Br1 4 2 4
185 Br1 1 3 4
186 Br1 2 3 4
187 Br1 3 3 4
188 Br1 4 3 4
189 Br1 1 4 4
190 Br1 2 4 4
191 Br1 3 4 4
192 Br1 4 4 4
193 Br2 1 1 1
194 Br2 2 1 1
195 Br2 3 1 1
196 Br2 4 1 1
197 Br2 1 2 1
198 Br2 2 2 1
199 Br2 3 2 1
200 Br2 4 2 1
201 Br2 1 3 1
202 Br2 2 3 1
203 Br2 3 3 1
204 Br2 4 3 1
205 Br2 1 4 1
206 Br2 2 4 1
207 Br2 3 4 1
208 Br2 4 4 1
209 Br2 1 1 2
210 Br2 2 1 2
211 Br2 3 1 2
212 Br2 4 1 2
213 Br2 1 2 2
214 Br2 2 2 2
215 Br2 3 2 2
216 Br2 4 2 2
217 Br2 1 3 2
218 Br2 2 3 2
219 Br2 3 3 2
220 Br2 4 3 2
221 Br2 1 4 2
222 Br2 2 4 2
223 Br2 3 4 2
224 Br2 4 4 2
225 Br2 1 1 3
226 Br2 2 1 3
227 Br2 3 1 3
228 Br2 4 1 3
229 Br2 1 2 3
230 Br2 2 2 3
231 Br2 3 2 3
232 Br2 4 2 3
233 Br2 1 3 3
234 Br2 2 3 3
235 Br2 3 3 3
236 Br2 4 3 3
237 Br2 1 4 3
238 Br2 2 4 3
239 Br2 3 4 3
240 Br2 4 4 3
241 Br2 1 1 4
242 Br2 2 1 4
243 Br2 3 1 4
244 Br2 4 1 4
245 Br2 1 2 4
246 Br2 2 2 4
247 Br2 3 2 4
248 Br2 4 2 4
249 Br2 1 3 4
250 Br2 2 3 4
251 Br2 3 3 4
252 Br2 4 3 4
253 Br2 1 4 4
254 Br2 2 4 4
255 Br2 3 4 4
256 Br2 4 4 4
257 Br3 1 1 1
258 Br3 2 1 1
259 Br3 3 1 1
260 Br3 4 1 1
261 Br3 1 2 1
262 Br3 2 2 1
263 Br3 3 2 1
264 Br3 4 2 1
265 Br3 1 3 1
266 Br3 2 3 1
267 Br3 3 3 1
268 Br3 4 3 1
269 Br3 1 4 1
270 Br3 2 4 1
271 Br3 3 4 1
272 Br3 4 4 1
273 Br3 1 1 2
274 Br3 2 1 2
275 Br3 3 1 2
276 Br3 4 1 2
277 Br3 1 2 2
278 Br3 2 2 2
279 Br3 3 2 2
280 Br3 4 2 2
281 Br3 1 3 2
282 Br3 2 3 2
283 Br3 3 3 2
284 Br3 4 3 2
285 Br3 1 4 2
286 Br3 2 4 2
287 Br3 3 4 2
288 Br3 4 4 2
289 Br3 1 1 3
290 Br3 2 1 3
291 Br3 3 1 3
292 Br3 4 1 3
293 Br3 1 2 3
294 Br3 2 2 3
295 Br3 3 2 3
296 Br3 4 2 3
297 Br3 1 3 3
298 Br3 2 3 3
299 Br3 3 3 3
300 Br3 4 3 3
301 Br3 1 4 3
302 Br3 2 4 3
303 Br3 3 4 3
304 Br3 4 4 3
305 Br3 1 1 4
306 Br3 2 1 4
307 Br3 3 1 4
308 Br3 4 1 4
309 Br3 1 2 4
310 Br3 2 2 4
311 Br3 3 2 4
312 Br3 4 2 4
313 Br3 1 3 4
314 Br3 2 3 4
315 Br3 3 3 4
316 Br3 4 3 4
317 Br3 1 4 4
318 Br3 2 4 4
319 Br3 3 4 4
320 Br3 4 4 4
