#LAMMPS

40000 atoms # the number of atoms
3 atom types # the number of atomic species


0.00 117.915448 xlo xhi #
0.00 117.068785 ylo yhi #
0.00 117.172598 zlo zhi #

Masses

1 132.90545  # Cs
2 207.2  # Pb
3 79.04 # Br


Atoms

433   1  71.061933210       5.833596790       5.460035890 
434   1  77.151909980       5.874628230       5.497240530 
435   1  82.756256690       5.846114490       5.050258240 
436   1  88.801295880       5.788085130       5.041740030 
437   1  94.439599890       6.094356030       5.709214200 
438   1 100.175457700       5.525992700       4.778784560 
439   1 106.113417870       5.994708720       5.757618900 
440   1 112.005695240       5.486964310       4.789802770 
441   1 117.882750300      12.028923010       5.812739470 
442   1   5.913168210      11.072840510       5.344508390 
443   1  11.752082480      12.028485170       6.031372520 
444   1  17.845901640      11.121973810       5.702754000 
445   1  23.819359080      11.228159410       5.883857610 
446   1  30.056197180      11.368483440       5.918211210 
447   1  35.679320750      11.122916450       5.900116710 
448   1  41.684945520      11.374408290       5.945660770 
449   1  47.345648740      12.061292530       6.308337370 
450   1  53.059027150      11.392558170       5.847221720 
451   1  58.960662290      11.838573850       6.448295350 
452   1  64.573109800      11.672735380       6.236884350 
453   1  70.498568580      11.743852560       6.432256070 
454   1  76.150303150      11.732686770       6.088847090 
455   1  82.280757930      11.690478090       6.103503270 
456   1  87.976444310      11.626363260       5.682516650 
457   1  94.295952930      12.011074700       5.708376180 
458   1 100.251690040      11.161417560       5.135063080 
459   1 106.112663210      12.064071740       5.707274520 
460   1 112.023783470      11.122434590       5.185860680 
461   1  -0.009910290      17.682706130       6.199030810 
462   1   5.858357340      17.160502080       5.332923770 
463   1  11.754538890      17.669189360       6.359561250 
464   1  17.676808530      17.119897940       5.585355730 
465   1  23.991666560      17.266144950       6.026590940 
466   1  29.750416480      17.056203160       5.970685080 
467   1  35.829632280      17.240895560       5.949372090 
468   1  41.559316040      17.063978870       5.876073830 
469   1  47.256747570      17.727681610       6.284911990 
470   1  53.112346160      17.263110530       5.591020090 
471   1  59.003012810      17.789496270       6.389205450 
472   1  65.070373390      17.573750210       5.653137030 
473   1  70.964792110      17.584202110       5.525519430 
474   1  77.130770100      17.549638720       5.545801070 
475   1  82.787610410      17.534752250       5.170228450 
476   1  88.768442280      17.469516840       5.226127510 
477   1  94.460909570      17.771488750       5.978433470 
478   1 100.194956200      17.195306630       5.087445070 
479   1 106.119132060      17.686887820       6.094907720 
480   1 112.002695470      17.187961730       5.189307430 
481   1  -0.049298340      23.769248050       6.175471380 
482   1   5.870517730      22.789176280       5.688097590 
483   1  11.693058480      23.742834990       6.319695850 
484   1  17.707523140      22.903344100       5.951298170 
485   1  23.641313830      22.951773120       6.072759050 
486   1  29.853842480      23.088500090       5.993413750 
487   1  35.566706780      22.893917720       5.974190650 
488   1  41.558806650      23.121675040       5.947068710 
489   1  47.276050330      23.779882580       6.355611130 
